               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14684,            0.023515,            0.021887,          0.00021235,           0.0086806,          0.00013685,          2.2481e-05,             0.12775,            0.017802,            0.016639,              0.0706,           0.0032667,           0.0032667
                   1,              0.1357,            0.017573,           0.0054049,             0.53108,            0.010417,           0.0063603,           0.0014153,             0.12594,            0.012219,           0.0091022,            0.040469,           0.0064693,           0.0064693
                   2,             0.13525,            0.013842,           0.0026018,              0.5397,            0.022569,            0.010765,           0.0023123,             0.12141,            0.013986,           0.0014547,            0.010207,             0.00954,             0.00954
                   3,             0.12553,            0.014172,           0.0017949,             0.54407,            0.072917,            0.017962,           0.0043549,              0.1153,            0.016236,          0.00096176,            0.009406,            0.009406,            0.009406
                   4,             0.12197,            0.014546,           0.0016783,             0.55204,            0.065972,            0.021369,           0.0043317,             0.11068,              0.0162,           0.0013525,            0.009406,            0.009406,            0.009406
                   5,             0.11758,            0.015776,           0.0015284,             0.12816,             0.27431,            0.068988,            0.014615,             0.10554,            0.017824,           0.0013134,            0.009208,            0.009208,            0.009208
                   6,             0.11071,            0.016042,           0.0015261,             0.19518,             0.18403,            0.097469,            0.027866,            0.098713,            0.019824,           0.0010019,             0.00901,             0.00901,             0.00901
                   7,             0.10741,            0.015899,           0.0011035,             0.20934,             0.34722,             0.12526,            0.038281,            0.098712,            0.021042,           0.0012357,            0.008812,            0.008812,            0.008812
                   8,             0.10665,            0.015776,           0.0010454,             0.31101,             0.30556,             0.19222,            0.053588,            0.094138,            0.019401,          0.00091441,            0.008614,            0.008614,            0.008614
                   9,             0.10432,            0.016831,          0.00094794,             0.30799,             0.29514,             0.21225,            0.062133,            0.094817,            0.019643,          0.00087352,            0.008416,            0.008416,            0.008416
                  10,             0.10244,            0.016766,          0.00099943,             0.53513,             0.31953,              0.3288,            0.099221,            0.091239,            0.019254,          0.00096271,            0.008218,            0.008218,            0.008218
                  11,            0.099363,            0.017091,          0.00094953,             0.47682,             0.37153,             0.31295,             0.10825,            0.088886,            0.019691,          0.00089397,             0.00802,             0.00802,             0.00802
                  12,            0.097887,             0.01564,            0.001049,             0.36644,             0.30382,             0.26684,            0.078915,            0.091516,            0.019525,          0.00078115,            0.007822,            0.007822,            0.007822
                  13,            0.095419,            0.014819,           0.0014982,             0.54447,             0.40028,             0.38181,             0.10208,            0.089689,            0.019681,          0.00090275,            0.007624,            0.007624,            0.007624
                  14,            0.096374,            0.016316,          0.00094756,             0.48574,             0.40972,             0.36741,             0.11451,            0.086613,            0.019477,           0.0014773,            0.007426,            0.007426,            0.007426
                  15,            0.095605,            0.016508,          0.00094059,             0.57056,             0.36792,             0.37742,            0.091236,            0.084649,            0.019428,          0.00067651,            0.007228,            0.007228,            0.007228
                  16,            0.089708,            0.017028,           0.0007199,             0.65703,             0.38425,             0.38137,             0.12109,            0.085045,            0.020069,          0.00065942,             0.00703,             0.00703,             0.00703
                  17,             0.09196,            0.017031,          0.00072799,             0.61841,             0.44271,              0.4028,             0.13575,            0.082767,            0.020318,          0.00071166,            0.006832,            0.006832,            0.006832
                  18,            0.090696,            0.017177,          0.00066648,             0.51732,              0.4085,             0.35278,             0.11014,            0.082713,            0.020008,           0.0006438,            0.006634,            0.006634,            0.006634
                  19,            0.090111,             0.01659,          0.00084661,             0.49258,             0.43924,             0.38665,             0.13618,             0.08131,            0.020655,          0.00058658,            0.006436,            0.006436,            0.006436
                  20,            0.088839,            0.016661,          0.00061773,             0.77552,              0.4135,             0.48003,             0.15324,            0.082288,            0.020561,          0.00065918,            0.006238,            0.006238,            0.006238
                  21,            0.088207,            0.015109,          0.00068898,             0.71852,             0.45174,             0.47395,             0.17447,            0.082569,            0.020652,          0.00080044,             0.00604,             0.00604,             0.00604
                  22,            0.086086,            0.015239,          0.00069969,             0.70715,             0.44618,              0.4782,              0.1724,            0.081042,            0.020113,          0.00072349,            0.005842,            0.005842,            0.005842
                  23,            0.086427,            0.014891,          0.00066502,             0.60562,             0.48438,             0.51352,              0.1676,            0.080147,            0.020394,           0.0006741,            0.005644,            0.005644,            0.005644
                  24,            0.084261,             0.01526,          0.00059688,             0.67076,              0.5484,             0.54073,             0.17253,            0.079462,            0.020633,           0.0007419,            0.005446,            0.005446,            0.005446
                  25,            0.083841,            0.014853,          0.00056187,             0.67711,             0.49653,              0.5266,             0.16866,            0.080292,            0.020964,          0.00058142,            0.005248,            0.005248,            0.005248
                  26,             0.08387,              0.0147,          0.00057555,             0.60062,              0.4803,             0.51057,              0.2039,            0.080588,            0.020578,          0.00063857,             0.00505,             0.00505,             0.00505
                  27,             0.08191,            0.014972,          0.00048672,             0.65896,             0.51042,             0.52747,             0.21624,            0.078747,            0.021387,          0.00062834,            0.004852,            0.004852,            0.004852
                  28,            0.080337,            0.016066,          0.00048739,             0.74224,             0.46354,              0.5664,             0.20312,             0.07728,            0.021172,          0.00070937,            0.004654,            0.004654,            0.004654
                  29,            0.081081,            0.015972,           0.0004611,             0.65378,             0.55729,             0.56979,              0.2097,            0.075529,            0.021148,            0.001333,            0.004456,            0.004456,            0.004456
                  30,             0.08214,            0.015469,          0.00047902,             0.57948,             0.60413,             0.58289,             0.19275,            0.075863,            0.020945,          0.00085293,            0.004258,            0.004258,            0.004258
                  31,            0.080146,            0.014743,          0.00048518,             0.74245,             0.48862,             0.57504,             0.23934,            0.074037,            0.020949,          0.00057474,             0.00406,             0.00406,             0.00406
                  32,            0.079671,            0.015627,          0.00051745,             0.80508,              0.5625,             0.57681,             0.23967,            0.075435,            0.020847,          0.00056201,            0.003862,            0.003862,            0.003862
                  33,            0.078856,            0.014551,          0.00041858,             0.75062,             0.55916,             0.59436,             0.23391,            0.075565,            0.020443,          0.00050515,            0.003664,            0.003664,            0.003664
                  34,            0.076125,             0.01561,           0.0003803,             0.74617,             0.50297,             0.58146,              0.2412,            0.075489,            0.020884,          0.00050552,            0.003466,            0.003466,            0.003466
                  35,            0.075835,            0.014569,          0.00043605,             0.79343,             0.48958,             0.58149,               0.259,            0.075835,            0.021052,          0.00049275,            0.003268,            0.003268,            0.003268
                  36,            0.075912,             0.01458,          0.00035833,             0.78598,             0.55439,              0.6004,             0.27339,            0.074891,             0.02049,          0.00049704,             0.00307,             0.00307,             0.00307
                  37,            0.076258,            0.013604,          0.00040946,             0.80868,             0.58681,             0.61134,             0.23595,            0.074361,            0.020458,           0.0004367,            0.002872,            0.002872,            0.002872
                  38,            0.075305,            0.014262,          0.00037669,             0.84415,             0.58507,             0.62284,             0.25491,            0.071818,            0.021057,          0.00053574,            0.002674,            0.002674,            0.002674
                  39,            0.073893,            0.014483,          0.00034462,             0.79249,             0.56466,             0.62294,             0.24907,            0.071957,            0.021524,          0.00039357,            0.002476,            0.002476,            0.002476
                  40,            0.073792,            0.015144,          0.00033772,             0.73467,             0.61806,             0.60798,             0.25112,            0.072133,              0.0215,          0.00048721,            0.002278,            0.002278,            0.002278
                  41,            0.072407,            0.014379,          0.00044172,             0.83824,             0.61144,             0.63091,             0.25288,            0.071787,            0.020864,           0.0003844,             0.00208,             0.00208,             0.00208
                  42,            0.071605,            0.015005,           0.0003163,             0.76868,             0.61458,             0.63833,             0.25644,            0.070682,            0.020891,           0.0003536,            0.001882,            0.001882,            0.001882
                  43,            0.071932,             0.01422,          0.00028709,             0.78698,             0.61979,             0.62546,             0.25071,            0.071105,            0.020886,          0.00034696,            0.001684,            0.001684,            0.001684
                  44,            0.069373,             0.01415,          0.00024948,             0.70863,             0.59469,             0.58723,             0.24895,            0.070198,            0.020761,           0.0003537,            0.001486,            0.001486,            0.001486
                  45,            0.070418,            0.014986,          0.00027039,             0.80675,             0.58333,             0.62227,             0.26354,             0.06926,            0.020754,          0.00037408,            0.001288,            0.001288,            0.001288
                  46,            0.070317,            0.014048,          0.00025339,              0.8303,              0.6059,             0.65133,             0.28706,            0.069304,            0.020577,          0.00036635,             0.00109,             0.00109,             0.00109
                  47,            0.070161,            0.014087,          0.00023374,             0.80584,             0.61727,             0.65242,              0.2921,            0.069227,            0.020422,          0.00036226,            0.000892,            0.000892,            0.000892
                  48,            0.069808,            0.014267,          0.00024795,             0.81582,             0.62516,             0.65244,             0.28183,            0.068601,            0.020355,          0.00035248,            0.000694,            0.000694,            0.000694
                  49,            0.067575,            0.013782,          0.00024112,             0.84531,             0.62326,             0.65486,             0.28222,            0.068636,            0.020276,          0.00033626,            0.000496,            0.000496,            0.000496
